atcoCodePrefix,localAuthorityName,region
630,Aberdeenshire,Scotland
639,Aberdeen,Scotland
649,Angus,Scotland
607,Argyll & Bute,Scotland
018,Bath & North East Somerset,South West
020,Bedford,South East
258,Blackburn with Darwen,North West
259,Blackpool,North West
532,Blaenau Gwent,Wales
129,Bournemouth,South West
038,Bracknell Forest,South East
551,Bridgend,Wales
149,Brighton and Hove,South East
010,Bristol,South West
040,Buckinghamshire,South East
554,Caerphilly,Wales
050,Cambridgeshire,East Anglia
571,Cardiff,Wales
522,Carmarthenshire,Wales
021,Central Bedfordshire,South East
523,Ceredigion,Wales
060,Cheshire East,North West
061,Cheshire West & Chester,North West
668,Clackmannanshire,Scotland
513,Conwy,Wales
080,Cornwall,South West
090,Cumbria,North West
076,Darlington,North East
511,Denbighshire,Wales
109,Derby,East Midlands
100,Derbyshire,East Midlands
110,Devon,South West
120,Dorset,South West
680,Dumfries & Galloway,Scotland
640,Dundee,Scotland
130,Durham,North East
618,East Ayrshire,Scotland
611,East Dunbartonshire,Scotland
627,East Lothian,Scotland
612,East Renfrewshire,Scotland
220,East Riding of Yorkshire,Yorkshire
140,East Sussex,South East
620,Edinburgh,Scotland
150,Essex,South East
669,Falkirk,Scotland
650,Fife,Scotland
512,Flintshire,Wales
609,Glasgow,Scotland
160,Gloucestershire,South West
490,Greater London,London
180,Greater Manchester,North West
540,Gwynedd,Wales
068,Halton,North West
190,Hampshire,South West
075,Hartlepool,North East
209,Herefordshire,West Midlands
210,Hertfordshire,South East
670,Highland,Scotland
613,Inverclyde,Scotland
541,Isle of Anglesey,Wales
230,Isle of Wight,South West
240,Kent,South East
229,Kingston upon Hull,Yorkshire
250,Lancashire,North West
269,Leicester,East Midlands
260,Leicestershire,East Midlands
270,Lincolnshire,East Midlands
029,Luton,South East
249,Medway,South East
280,Merseyside,North West
553,Merthyr Tydfil,Wales
079,Middlesbrough,North East
628,Midlothian,Scotland
049,Milton Keynes,South East
533,Monmouthshire,Wales
638,Moray,Scotland
920,National - National Air,Great Britain
930,National - National Ferry,Great Britain
910,National - National Rail,Great Britain
940,National - National Tram,Great Britain
582,Neath Port Talbot,Wales
531,Newport,Wales
290,Norfolk,East Anglia
617,North Ayrshire,Scotland
228,North East Lincolnshire,East Midlands
616,North Lanarkshire,Scotland
227,North Lincolnshire,East Midlands
019,North Somerset,South West
320,North Yorkshire,Yorkshire
300,West Northamptonshire,East Midlands
305,North Northamptonshire,East Midlands
310,Northumberland,North East
339,Nottingham,East Midlands
330,Nottinghamshire,East Midlands
602,Orkney Islands,Scotland
340,Oxfordshire,South East
521,Pembrokeshire,Wales
648,Perth & Kinross,Scotland
059,Peterborough,East Midlands
118,Plymouth,South West
128,Poole,South West
199,Portsmouth,South West
561,Powys,Wales
039,Reading,South East
078,Redcar & Cleveland,North East
614,Renfrewshire,Scotland
552,Rhondda Cynon Taff,Wales
268,Rutland,East Midlands
690,Scottish Borders,Scotland
603,Shetland Islands,Scotland
350,Shropshire,West Midlands
037,Slough,South East
360,Somerset,South West
619,South Ayrshire,Scotland
017,South Gloucestershire,South West
615,South Lanarkshire,Scotland
370,South Yorkshire,Yorkshire
198,Southampton,South West
158,Southend-on-Sea,South East
380,Staffordshire,West Midlands
660,Stirling,Scotland
077,Stockton-on-Tees,North East
389,Stoke-on-Trent,West Midlands
390,Suffolk,East Anglia
400,Surrey,South East
581,Swansea,Wales
468,Swindon,South West
359,Telford & Wrekin,West Midlands
159,Thurrock,South East
119,Torbay,South West
534,Torfaen,Wales
410,Tyne & Wear,North East
572,Vale of Glamorgan,Wales
069,Warrington,North West
420,Warwickshire,West Midlands
030,West Berkshire,South East
608,West Dunbartonshire,Scotland
629,West Lothian,Scotland
430,West Midlands,West Midlands
440,West Sussex,South East
450,West Yorkshire,Yorkshire
601,Western Isles,Scotland
460,Wiltshire,South West
036,Windsor & Maidenhead,South East
035,Wokingham,South East
200,Worcestershire,West Midlands
514,Wrexham,Wales
329,York,Yorkshire
